,firm1,firm2,sim
506,ATML,MOSY,0.215926493109
507,ATML,MRVC,0.172972972973
508,ATML,MSCC,0.221613545817
509,ATML,MU,0.197226502311
510,ATML,MXIM,0.230514096186
511,ATML,NVDA,0.184834123223
512,ATML,OCLR,0.188334504568
513,ATML,ON,0.236126840317
514,ATML,OSIS,0.169295883032
515,ATML,OVTI,0.223797468354
516,ATML,PLAB,0.185826771654
517,ATML,PMCS,0.199642697633
518,ATML,POWI,0.207191780822
519,ATML,PXLW,0.197106690778
520,ATML,QUIK,0.213218390805
521,ATML,RMBS,0.22878876536
522,ATML,SIGM,0.198529411765
523,ATML,SLAB,0.215836526181
524,ATML,SMTC,0.244346387204
525,ATML,SUNE,0.186046511628
526,ATML,SWKS,0.205439814815
527,ATML,TSRA,0.170103092784
528,ATML,TXN,0.188002926116
529,ATML,VIAV,0.169066820276
530,ATML,XLNX,0.229100529101
531,AXTI,ADI,0.1985
532,AXTI,AFOP,0.181964573269
533,AXTI,ALTR,0.233195020747
534,AXTI,AMAT,0.181732580038
535,AXTI,AMCC,0.232394366197
536,AXTI,AMD,0.215509854327
537,AXTI,AMKR,0.189928057554
538,AXTI,ANAD,0.225792988314
539,AXTI,ATML,0.183223992502
540,AXTI,AXTI,1.0
541,AXTI,BRCM,0.183818310859
542,AXTI,CCMP,0.188640973631
543,AXTI,CEVA,0.16944569626
544,AXTI,CREE,0.245360059391
545,AXTI,CRUS,0.200895933839
546,AXTI,CY,0.218428781204
547,AXTI,DIOD,0.221043324492
548,AXTI,DSPG,0.190476190476
549,AXTI,EMAN,0.226274509804
550,AXTI,EMKR,0.24048391856
551,AXTI,EXAR,0.200699300699
552,AXTI,FCS,0.201816347124
553,AXTI,FNSR,0.220278587626
554,AXTI,FORM,0.175202156334
555,AXTI,IDTI,0.184162062615
556,AXTI,INTC,0.207027540361
557,AXTI,ISIL,0.1876114082
558,AXTI,ISSI,0.231891103549
559,AXTI,IXYS,0.236686390533
560,AXTI,KOPN,0.24458983392
561,AXTI,LLTC,0.207187222715
562,AXTI,LPTH,0.205800678803
563,AXTI,LSCC,0.186844613918
564,AXTI,MCHP,0.207751937984
565,AXTI,MOSY,0.217225286381
566,AXTI,MRVC,0.1989746876
567,AXTI,MSCC,0.218400331538
568,AXTI,MU,0.19508057676
569,AXTI,MXIM,0.216591928251
570,AXTI,NVDA,0.170903954802
571,AXTI,OCLR,0.16532905297
572,AXTI,ON,0.203787195672
573,AXTI,OSIS,0.18322147651
574,AXTI,OVTI,0.222222222222
575,AXTI,PLAB,0.140812821981
576,AXTI,PMCS,0.186611817502
577,AXTI,POWI,0.193577981651
578,AXTI,PXLW,0.16926713948
579,AXTI,QUIK,0.205009276438
580,AXTI,RMBS,0.209443665264
581,AXTI,SIGM,0.182827851346
582,AXTI,SLAB,0.202517985612
583,AXTI,SMTC,0.233363309353
584,AXTI,SUNE,0.22649394066
585,AXTI,SWKS,0.211692597831
586,AXTI,TSRA,0.139407244786
587,AXTI,TXN,0.135556750941
588,AXTI,VIAV,0.205835543767
589,AXTI,XLNX,0.212251941329
590,BRCM,ADI,0.198150594452
591,BRCM,AFOP,0.169986104678
592,BRCM,ALTR,0.224823485693
593,BRCM,AMAT,0.135871743487
594,BRCM,AMCC,0.263272727273
595,BRCM,AMD,0.220934723832
596,BRCM,AMKR,0.181550126369
597,BRCM,ANAD,0.237571157495
598,BRCM,ATML,0.220128479657
599,BRCM,AXTI,0.183818310859
600,BRCM,BRCM,1.0
601,BRCM,CCMP,0.158488927486
602,BRCM,CEVA,0.213216957606
603,BRCM,CREE,0.196811971373
604,BRCM,CRUS,0.228709677419
605,BRCM,CY,0.236591989138
606,BRCM,DIOD,0.180566182096
607,BRCM,DSPG,0.227541187442
608,BRCM,EMAN,0.187543014453
609,BRCM,EMKR,0.211018989035
610,BRCM,EXAR,0.231727302524
611,BRCM,FCS,0.183419374431
612,BRCM,FNSR,0.225217130878
613,BRCM,FORM,0.135600907029
614,BRCM,IDTI,0.232340425532
615,BRCM,INTC,0.250982763834
616,BRCM,ISIL,0.231561598681
617,BRCM,ISSI,0.214103653356
618,BRCM,IXYS,0.207704527403
619,BRCM,KOPN,0.17078275429
620,BRCM,LLTC,0.180690189996
621,BRCM,LPTH,0.172623995567
622,BRCM,LSCC,0.170062370062
623,BRCM,MCHP,0.180507892931
624,BRCM,MOSY,0.197674418605
625,BRCM,MRVC,0.210119047619
626,BRCM,MSCC,0.177064551028
627,BRCM,MU,0.168029739777
628,BRCM,MXIM,0.188649706458
629,BRCM,NVDA,0.192617734408
630,BRCM,OCLR,0.147706422018
631,BRCM,ON,0.200481154771
632,BRCM,OSIS,0.172707889126
633,BRCM,OVTI,0.205827418752
634,BRCM,PLAB,0.117164898746
635,BRCM,PMCS,0.246258018532
636,BRCM,POWI,0.197217675941
637,BRCM,PXLW,0.191734128675
638,BRCM,QUIK,0.2
639,BRCM,RMBS,0.202892561983
640,BRCM,SIGM,0.209620649198
641,BRCM,SLAB,0.236345246123
642,BRCM,SMTC,0.20510805501
643,BRCM,SUNE,0.15322009908
644,BRCM,SWKS,0.201827242525
645,BRCM,TSRA,0.141769743102
646,BRCM,TXN,0.123673281034
647,BRCM,VIAV,0.205147240782
648,BRCM,XLNX,0.212848297214
649,CCMP,ADI,0.191592005513
650,CCMP,AFOP,0.205027494108
651,CCMP,ALTR,0.182751540041
652,CCMP,AMAT,0.194552529183
653,CCMP,AMCC,0.166353383459
654,CCMP,AMD,0.200332042059
655,CCMP,AMKR,0.214333556597
656,CCMP,ANAD,0.183003128259
657,CCMP,ATML,0.188099808061
658,CCMP,AXTI,0.188640973631
659,CCMP,BRCM,0.158488927486
660,CCMP,CCMP,1.0
661,CCMP,CEVA,0.167878787879
662,CCMP,CREE,0.192102928128
663,CCMP,CRUS,0.169364881694
664,CCMP,CY,0.178746109382
665,CCMP,DIOD,0.191804211725
666,CCMP,DSPG,0.162799842705
667,CCMP,EMAN,0.16485078162
668,CCMP,EMKR,0.15329419439
669,CCMP,EXAR,0.155871291266
670,CCMP,FCS,0.175637393768
671,CCMP,FNSR,0.167231638418
672,CCMP,FORM,0.161290322581
673,CCMP,IDTI,0.174583590376
674,CCMP,INTC,0.157100809419
675,CCMP,ISIL,0.185866983373
676,CCMP,ISSI,0.2
677,CCMP,IXYS,0.19266589057
678,CCMP,KOPN,0.185939553219
679,CCMP,LLTC,0.161199095023
680,CCMP,LPTH,0.160458452722
681,CCMP,LSCC,0.170199100835
682,CCMP,MCHP,0.176923076923
683,CCMP,MOSY,0.192953929539
684,CCMP,MRVC,0.162632375189
685,CCMP,MSCC,0.185185185185
686,CCMP,MU,0.179374657159
687,CCMP,MXIM,0.185507246377
688,CCMP,NVDA,0.148358585859
689,CCMP,OCLR,0.1796875
690,CCMP,ON,0.186721991701
691,CCMP,OSIS,0.140007977663
692,CCMP,OVTI,0.176223040505
693,CCMP,PLAB,0.174645390071
694,CCMP,PMCS,0.165658445789
695,CCMP,POWI,0.148456057007
696,CCMP,PXLW,0.17666232073
697,CCMP,QUIK,0.157074340528
698,CCMP,RMBS,0.191925465839
699,CCMP,SIGM,0.162700608744
700,CCMP,SLAB,0.188360728565
701,CCMP,SMTC,0.197345643393
702,CCMP,SUNE,0.194415173867
703,CCMP,SWKS,0.197732997481
704,CCMP,TSRA,0.144715447154
705,CCMP,TXN,0.148885350318
706,CCMP,VIAV,0.14564254062
707,CCMP,XLNX,0.186703601108
708,CEVA,ADI,0.204379562044
709,CEVA,AFOP,0.175889328063
710,CEVA,ALTR,0.199530516432
711,CEVA,AMAT,0.142467248908
712,CEVA,AMCC,0.195015303892
713,CEVA,AMD,0.214859437751
714,CEVA,AMKR,0.184165232358
715,CEVA,ANAD,0.188679245283
716,CEVA,ATML,0.211494252874
717,CEVA,AXTI,0.16944569626
718,CEVA,BRCM,0.213216957606
719,CEVA,CCMP,0.167878787879
720,CEVA,CEVA,1.0
721,CEVA,CREE,0.165410551369
722,CEVA,CRUS,0.203137254902
723,CEVA,CY,0.199669284828
724,CEVA,DIOD,0.173673673674
725,CEVA,DSPG,0.214231642695
726,CEVA,EMAN,0.178260869565
727,CEVA,EMKR,0.160944206009
728,CEVA,EXAR,0.17028704422
729,CEVA,FCS,0.147219193021
730,CEVA,FNSR,0.170510132774
731,CEVA,FORM,0.150032615786
732,CEVA,IDTI,0.196557468073
733,CEVA,INTC,0.196617336152
734,CEVA,ISIL,0.195108984583
735,CEVA,ISSI,0.212485681558
736,CEVA,IXYS,0.192946058091
737,CEVA,KOPN,0.181609195402
738,CEVA,LLTC,0.160120845921
739,CEVA,LPTH,0.145341207349
740,CEVA,LSCC,0.164606741573
741,CEVA,MCHP,0.153418803419
742,CEVA,MOSY,0.21626984127
743,CEVA,MRVC,0.157729805014
744,CEVA,MSCC,0.16
745,CEVA,MU,0.152664426308
746,CEVA,MXIM,0.177435897436
747,CEVA,NVDA,0.2
748,CEVA,OCLR,0.167771883289
749,CEVA,ON,0.185165702262
750,CEVA,OSIS,0.149778106509
751,CEVA,OVTI,0.199132111861
752,CEVA,PLAB,0.134629229662
753,CEVA,PMCS,0.189469141131
754,CEVA,POWI,0.180443003782
755,CEVA,PXLW,0.200233508465
756,CEVA,QUIK,0.195068493151
