inv_num,pnum_str
03978577-1,"6700771, 6713810, 6979880, 6958263, 6955960, 6950340, 6943065, 6933572, 6917078, 6903001, 6900667, 6888200, 6882010, 6908798, 6873018, 6873015, 6903969, 6845034, 6828632, 6800892, 6812504, 6784480, 6768156, 6808971, 6743681, 6759712"
03979607-2,"6016067, 6118336, 6107875, 6091274, 6069502"
03979719-3,6304762
03980915-1,"6376293, 6348719, 6010929, 6207511, 6180978, 6063677, 6127232, 6118161"
03980951-2,"6407612, 6260139, 6104211, 6150863, 6134191, 6956776, 6937172, 6934198, 6759869, 6734703, 6389490, 6810514, 6434642, 6353341, 6204695, 6441641"
03981480-2,"6867377, 6799902"
03982093-1,"6690243, 6667668, 6198360, 6307437, 6323734"
03983083-4,"6566199, 6156382, 6884464"
03983264-1,"6407333, 6303977"
03983664-1,6936773
03984670-1,"6212639, 6181158, 6100705, 6057704"
03984813-1,"6774955, 6642987, 6909484"
03984822-1,6961279
03986016-1,"6151646, 6119186, 6023587, 6603412"
03986041-3,"6452531, 6429697"
03986046-1,"6768362, 6674332, 6956419"
03986126-2,6915322
03986131-2,"6047036, 6597754, 6018556, 6118384, 6075831, 6072842, 6055281, 6125139"
03986178-1,"6756576, 6757202, 6240003, 6456535, 6356500, 6249460, 6049483"
03986255-1,"6596627, 6559070, 6541367, 6890639, 6362115, 6013315, 6537929, 6660663, 6800571, 6287990, 6171945, 6743737, 6448187, 6245690, 6107184, 6660656, 6596655, 6562690, 6541282, 6930061, 6869896, 6734115, 6348725, 6303523, 6576568, 6896955"
03988681-1,"6393048, 6198764, 6215437"
03988689-1,"6922320, 6917227, 6897492, 6832356, 6771478, 6771119, 6759692, 6657480, 6638808, 6583665, 6507239"
03991416-3,6639572
03993077-1,"6825447, 6013582, 6682603, 6537918, 6291356"
03996461-1,"6071616, 6282010"
03998859-1,6204557
03998877-4,6197989
03999132-1,"6227141, 6112697, 6112697, 6227141, 6533894, 6753248, 6705246, 6395128, 6235646, 6159867, 6705246, 6159867, 6533894, 6395128, 6235646, 6893548, 6258223, 6350320"
04000506-1,6688980
04000508-2,6821829
04001864-1,"6434327, 6122439, 6016383"
04002523-1,6063696
04002931-2,"6150199, 6078191"
04003036-1,"6818558, 6709928, 6677213, 6586806, 6172907, 6097618"
04003284-1,6763462
04003770-2,6592707
04004210-1,"6969883, 6955967, 6839280, 6964902, 6751125, 6791883"
04004619-3,"6910632, 6654378, 6749122, 6614768"
04005330-1,6060795
04007047-2,"6255771, 6169358, 6198220, 6136621, 6144145, 6608283, 6265820, 6166820"
04008274-4,"6630079, 6544440"
04008910-1,6924172
04009400-2,"6652368, 6716094, 6443824, 6290577, 6024630, 6126517, 6080046, 6642746, 6480035, 6340900, 6157244, 6369626, 6125157, 6539072"
04011403-2,6937794
04012646-2,"6891731, 6828666, 6496383, 6462956, 6191479"
04012761-2,"6057612, 6110763, 6656774, 6157076, 6194290, 6153495"
04013725-4,"6462005, 6265309"
04014743-1,"6924693, 6975132, 6870390, 6956442, 6976102"
04015175-2,6228741
04015709-1,"6083837, 6184140"
04016551-1,"6621296, 6529040, 6445209, 6373279, 6078528, 6501296, 6480954, 6292019, 6288569, 6263430, 6208163, 6184712, 6150838, 6777980, 6525565"
04017890-1,"6599076, 6454508, 6454519"
04019373-1,"6650089, 6577135, 6377028, 6369576, 6832171, 6789026, 6892148"
04019908-1,"6236094, 6828620, 6573138, 6122209"
04020366-2,"6979784, 6766222, 6113485"
04021261-2,6319311
04021910-1,"6798942, 6121838, 6940627"
04023149-3,6670843
04023167-1,"6335896, 6242772"
04023185-3,6832319
04023474-1,6891816
