inv2,inv1
03890630-1,03890630-1
04701636-2,03890630-1
04709467-1,03890630-1
05483178-1,03890630-1
06897543-2,03890630-1
06897543-3,03890630-1
03891480-1,03891480-1
06134138-1,03891480-1
03862419-1,03892973-2
03892973-2,03892973-2
04640626-1,03892973-2
04748407-1,03892973-2
03892973-3,03892973-3
03923559-1,03892973-3
04147655-2,03892973-3
04149640-1,03892973-3
04171489-5,03892973-3
04181564-2,03892973-3
04301324-1,03892973-3
04613400-3,03892973-3
04717461-6,03892973-3
04842683-6,03892973-3
04872947-3,03892973-3
04872947-4,03892973-3
04872947-5,03892973-3
04872947-6,03892973-3
04872947-7,03892973-3
04872947-8,03892973-3
04882129-2,03892973-3
04940508-1,03892973-3
05072288-2,03892973-3
05085727-1,03892973-3
05201990-4,03892973-3
05260236-2,03892973-3
05264396-1,03892973-3
05271972-2,03892973-3
05292137-3,03892973-3
05292399-2,03892973-3
05308417-5,03892973-3
05332443-7,03892973-3
05356722-2,03892973-3
05380566-2,03892973-3
05380566-3,03892973-3
05399387-3,03892973-3
05423918-3,03892973-3
05441768-5,03892973-3
05466626-4,03892973-3
05467220-1,03892973-3
05497401-1,03892973-3
05540824-3,03892973-3
05605603-1,03892973-3
05614055-2,03892973-3
05644467-2,03892973-3
05700327-2,03892973-3
05720818-1,03892973-3
05720818-4,03892973-3
05720818-6,03892973-3
05761023-5,03892973-3
05788778-1,03892973-3
05801915-2,03892973-3
05812403-2,03892973-3
05856252-3,03892973-3
06079356-2,03892973-3
06108189-11,03892973-3
06170428-10,03892973-3
06172322-5,03892973-3
06342453-6,03892973-3
06355108-4,03892973-3
06559454-4,03892973-3
06639231-3,03892973-3
06825134-6,03892973-3
06825134-7,03892973-3
03879585-3,03895147-1
03881884-2,03895147-1
03895147-1,03895147-1
03900944-2,03895147-1
03909925-1,03895147-1
03986178-1,03895147-1
04183781-1,03895147-1
04222816-1,03895147-1
04891794-3,03895147-1
05225024-5,03895147-1
05378945-3,03895147-1
05419807-1,03895147-1
03895263-1,03895263-1
06067858-2,03895263-1
06230563-3,03895263-1
06230563-4,03895263-1
06465355-1,03895263-1
06674383-2,03895263-1
06822370-3,03895263-1
03896275-1,03896275-1
05055843-1,03896275-1
06956416-1,03896275-1
06956416-2,03896275-1
06956416-3,03896275-1
03896313-2,03896313-2
04978627-2,03896313-2
05674652-8,03896313-2
05938943-3,03896313-2
03896397-1,03896397-1
04883987-1,03896397-1
05818743-1,03896397-1
06028488-1,03896397-1
03897006-1,03897006-1
03897317-1,03897317-1
05128281-3,03897317-1
05424224-5,03897317-1
05474020-2,03897317-1
06028006-3,03897317-1
06028006-5,03897317-1
06028006-6,03897317-1
03897774-2,03897774-2
03898049-3,03898049-3
04344133-1,03898049-3
04873696-2,03898049-3
04926319-4,03898049-3
05375216-2,03898049-3
05893142-3,03898049-3
06378022-3,03898049-3
06564047-3,03898049-3
06769076-3,03898049-3
06832280-1,03898049-3
06895530-1,03898049-3
06925542-1,03898049-3
03900378-2,03900378-2
05393330-1,03900378-2
03900722-1,03900722-1
03962683-2,03900722-1
03900944-1,03900944-1
04827610-3,03900944-1
03879585-3,03900944-2
03881884-2,03900944-2
03895147-1,03900944-2
03900944-2,03900944-2
03909925-1,03900944-2
03986178-1,03900944-2
04222816-1,03900944-2
04631219-2,03900944-2
04871688-1,03900944-2
04891794-3,03900944-2
04959325-2,03900944-2
05032233-3,03900944-2
05091290-1,03900944-2
05185275-1,03900944-2
05200359-5,03900944-2
05225024-5,03900944-2
05264396-1,03900944-2
05319593-1,03900944-2
05326892-1,03900944-2
05378945-3,03900944-2
05438016-1,03900944-2
05563089-3,03900944-2
05571733-1,03900944-2
05578941-2,03900944-2
05601656-1,03900944-2
05854128-1,03900944-2
03902082-2,03902082-2
05241266-2,03902082-2
03902148-2,03902148-2
06169322-1,03902148-2
03903413-1,03903413-1
03903424-1,03903424-1
03954191-2,03903424-1
04539217-1,03903424-1
04791273-1,03903424-1
05838012-5,03903424-1
05898179-1,03903424-1
06179921-1,03903424-1
06878946-5,03903424-1
03904607-3,03904607-3
04183039-1,03904607-3
04188626-1,03904607-3
04213189-3,03904607-3
05093807-4,03904607-3
05917839-2,03904607-3
05986314-1,03904607-3
06266749-2,03904607-3
06307233-1,03904607-3
03904987-1,03904987-1
04017890-1,03904987-1
04134504-2,03904987-1
04785962-1,03904987-1
05000225-1,03904987-1
05186594-4,03904987-1
05186594-5,03904987-1
05186594-7,03904987-1
03905688-3,03905688-3
03906300-1,03906300-1
06459455-4,03906300-1
06711301-3,03906300-1
03906891-1,03906891-1
03954191-2,03906891-1
04539217-1,03906891-1
04743767-5,03906891-1
05149244-2,03906891-1
05838012-5,03906891-1
05898179-1,03906891-1
06559454-1,03906891-1
03906951-1,03906951-1
04594769-1,03906951-1
04714536-4,03906951-1
04757359-1,03906951-1
04872947-5,03906951-1
04928261-1,03906951-1
05326725-7,03906951-1
05879947-1,03906951-1
05925384-2,03906951-1
06050506-2,03906951-1
06079356-2,03906951-1
06083321-3,03906951-1
06086676-1,03906951-1
06086676-2,03906951-1
06110322-1,03906951-1
06110322-4,03906951-1
06176930-2,03906951-1
06176930-6,03906951-1
06364954-4,03906951-1
03908114-1,03908114-1
05229855-1,03908114-1
05444704-1,03908114-1
05768275-4,03908114-1
06037743-2,03908114-1
06037743-5,03908114-1
06072882-5,03908114-1
03908397-2,03908397-2
03911353-1,03908397-2
05039954-1,03908397-2
06188250-3,03908397-2
06191719-2,03908397-2
06426715-1,03908397-2
06538508-1,03908397-2
06583747-1,03908397-2
06583747-3,03908397-2
03909366-2,03909366-2
05418378-1,03909366-2
06149368-1,03909366-2
06392251-1,03909366-2
06429783-3,03909366-2
06429783-5,03909366-2
03909626-2,03909626-2
05072418-2,03909626-2
06768669-1,03909626-2
03909763-3,03909763-3
06965357-1,03909763-3
03909798-1,03909798-1
04412294-1,03909798-1
03879585-3,03909925-1
03881884-2,03909925-1
03895147-1,03909925-1
03900944-2,03909925-1
