Games	Sport	Event	Athlete(s)	CountryCode	CountryName	Medal	ResultInSeconds
2012	Rowing	Double Sculls Women	Julia MICHALSKA, Magdalena FULARCZYK	POL	Poland	Bronze	427.92
2012	Rowing	Eights Men	Adamski, Kuffner, Johannesen, Reinelt, Schmidt, Mueller, Mennigen, Wilke, Sauer	GER	Germany	Gold	348.75
2012	Rowing	Eights Men	Bergen, Csima, Gibson, Mccabe, Howard, Byrnes, Brown, Crothers, Price	CAN	Canada	Silver	349.98
2012	Rowing	Eights Men	Partridge, Foad, Ransley, Egington, Sbihi, Searle, Langridge, Louloudis, Hill	GBR	Great Britain	Bronze	351.18
2012	Rowing	Eights Women	Cafaro, Francia, Lofgren, Ritzel, Musnicki, Logan, Lind, Davies, Whipple	USA	United States of America	Gold	370.59
2012	Rowing	Eights Women	Hanson, Viinberg, Guloien, Wilkinson, Mastracci, Brzozowicz, Marquardt, Morin, Thompson-willie	CAN	Canada	Silver	372.06
2012	Rowing	Eights Women	Veenhoven, Kingma, Achterberg, De Groot, Repelaer Van Driel, Belderbos, Bouw, De Haan, Schellekens	NED	Netherlands	Bronze	373.12
2012	Rowing	Lightweight Coxless Fours Men	James THOMPSON, John SMITH, Sizwe NDLOVU, Matthew BRITTAIN	RSA	South Africa	Gold	362.84
2012	Rowing	Lightweight Coxless Fours Men	Richard CHAMBERS, Robert WILLIAMS, Chris BARTLEY, Peter CHAMBERS	GBR	Great Britain	Silver	363.09
2012	Rowing	Lightweight Coxless Fours Men	Eskild EBBESEN, Kasper WINTHER, Jacob BARSOE, Morten JORGENSEN	DEN	Denmark	Bronze	363.16
2012	Rowing	Lightweight Double Sculls Men	Rasmus QUIST, Mads Reinholdt RASMUSSEN	DEN	Denmark	Gold	397.17
2012	Rowing	Lightweight Double Sculls Men	Mark HUNTER, Zac PURCHASE	GBR	Great Britain	Silver	397.78
2012	Rowing	Lightweight Double Sculls Men	Peter TAYLOR, Storm URU	NZL	New Zealand	Bronze	400.86
2012	Rowing	Lightweight Double Sculls Women	Katherine COPELAND, Sophie HOSKING	GBR	Great Britain	Gold	429.30
2012	Rowing	Lightweight Double Sculls Women	Dongxiang XU, Wenyi HUANG	CHN	China	Silver	431.93
2012	Rowing	Lightweight Double Sculls Women	Alexandra TSIAVOU, Christina GIAZITZIDOU	GRE	Greece	Bronze	432.09
2012	Rowing	Quadruple Sculls Men	Tim GROHMANN, Lauritz SCHOOF, Karl SCHULZE, Phillipp WENDE	GER	Germany	Gold	342.48
2012	Rowing	Quadruple Sculls Men	Martin SINKOVIC, Valent SINKOVIC, Damir MARTIN, David SAIN	CRO	Croatia	Silver	344.78
2012	Rowing	Quadruple Sculls Men	Karsten FORSTERLING, James MCRAE, Daniel NOONAN, Christopher MORGAN	AUS	Australia	Bronze	345.22
2012	Rowing	Quadruple Sculls Women	Yana DEMENTYEVA, Kateryna TARASENKO, Anastasiia KOZHENKOVA, Nataliya DOVGODKO	UKR	Ukraine	Gold	395.93
2012	Rowing	Quadruple Sculls Women	Britta OPPELT, Annekatrin THIELE, Carina BAER, Julia RICHTER	GER	Germany	Silver	398.09
2012	Rowing	Quadruple Sculls Women	Megan KALMOE, Kara KOHLER, Adrienne MARTELLI, Natalie DELL	USA	United States of America	Bronze	400.63
2012	Rowing	Single Sculls Men	Mahe DRYSDALE	NZL	New Zealand	Gold	417.82
2012	Rowing	Single Sculls Men	Ondrej SYNEK	CZE	Czech Republic	Silver	419.37
2012	Rowing	Single Sculls Men	Alan CAMPBELL	GBR	Great Britain	Bronze	423.28
2012	Rowing	Single Sculls Women	Mirka KNAPKOVA	CZE	Czech Republic	Gold	474.37
2012	Rowing	Single Sculls Women	Fie Udby ERICHSEN	DEN	Denmark	Silver	477.72
2012	Rowing	Single Sculls Women	Kim CROW	AUS	Australia	Bronze	478.04
