Athlete	CountryCode	Medals
asafa powell, michael frater, nesta carter, usain bolt, dwight thomas	JAM	1
asbel kiprop	KEN	1
ashley tappin, jenny thompson, angel martino, nicole haislett, crissy ahmann-leighton, dara torres	USA	1
asli cakir alptekin	TUR	1
assefa mezgebu	ETH	1
astrid strau?	GDR	1
atanase sciotnic, aurel vernescu, mihai turcas, simion cuciuc	ROM	1
athanasia tsoumeleka	GRE	1
ato boldon	TRI	4
attila adrovicz, ferenc csipes, andr?s rajna, g?bor horv?th	HUN	1
attila ?brah?m, ferenc csipes	HUN	1
attila ?brah?m, ferenc csipes, zsolt gyulai, l?szl? fidel	HUN	1
attila czene	HUN	2
attila vajda	HUN	2
audrey patterson	USA	1
audrey williamson	GBR	1
audun boysen	NOR	1
august desch	USA	1
aurel vernescu	ROM	1
aurica barascu, georgeta damian, doina ignat, elena georgescu, rodica florea, liliana gafencu, viorica susanu, ioana papuc, elisabeta lipa	ROM	1
aya terakawa	JPN	1
aya terakawa, yuka kato, haruka ueda, satomi suzuki	JPN	1
barbara burke, audrey brown, eileen hiscock, violet olney	GBR	1
barbara ferrell	USA	1
barbara g?bel	GER	1
barbara jones, martha hudson, wilma rudolph, lucinda williams	USA	1
barbara krause	GDR	2
barbara olmsted, lucie guay, sue holloway, alexandra barr?	CAN	1
barbara sch?ttpelz	FRG	1
barney ewell	USA	2
barry kelly, grant kenny	AUS	1
barry magee	NZL	1
basil heatley	GBR	1
beata mikolajczyk, karolina naja	POL	1
beatrice caslaru	ROM	2
beatrice lyons	AUS	1
beatrice utondu, mary onyali, christy opara-thompson, faith idehen	NGR	1
beaufort burdekin, robert bourne, william fison, thomas gillespie, john walker, arthur wiggins, charles littlejohn, william parker, frederick pitman	GBR	1
becky smith	CAN	1
becky smith, gail amundrud, barbara clark, ann jardin	CAN	1
ben eastman	USA	1
ben fouhy	NZL	1
bengt baron	SWE	1
ben hunt-davis, simon dennis, rowley douglas, louis attrill, steve trapmore, kieran west, andrew lindsay, luka grubor, fred scarlett	GBR	1
beniamino bonomi	ITA	1
beniamino bonomi, daniele scarpa	ITA	1
benita fitzgerald-brown	USA	1
benjamin kogo	KEN	1
ben jipcho	KEN	1
ben johnson	CAN	1
ben johnson, tony sharpe, sterling hinds, desai williams	CAN	1
benny nielsen	DEN	1
bent rasch, finn haunstoft	DEN	1
bergen, csima, gibson, mccabe, howard, byrnes, brown, crothers, price	CAN	1
bernard bregeon	FRA	1
bernard lagat	KEN	2
bernardo sugura	MEX	1
bernard williams iii	USA	1
bernd duvigneau, r?diger helm, frank-peter bischof, j?rgen lehnert	GDR	1
bernd kannenberg	FRG	1
bernd landvoigt, j?rg landvoigt	GDR	2
bernd landvoigt, j?rg landvoigt, hans-joachim borzym, harold dimke, heinrich mederow, dietmar schwarz, manfred schmorde, manfred schneider, hartmut schreiber	GDR	1
bernd olbricht, joachim mattern	GDR	1
bernhard von gaza	DEU	1
bershawn jackson	USA	1
bertha brouwer	NED	1
bertil albertsson	SWE	1
bertrand vecten, olivier moncelet, gilles bosquet, daniel fauche	FRA	1
beth botsford	USA	1
betsy mitchell	USA	1
betty cuthbert	AUS	3
beverley whitfield	AUS	2
beverly mcdonald	JAM	1
bevil rudd	SAF	2
bill carr	USA	1
bill dellinger	USA	1
bill hogenson	USA	2
bill mulliken	USA	1
billy mills	USA	1
birgit fischer	GDR	2
birgit fischer	GER	1
birgit fischer, anke nothnagel-von seck	GDR	1
birgit fischer, carolin leonhardt	GER	1
birgit fischer, katrin wagner	GER	1
birgit fischer, ramona portwich	GER	1
birgit fischer, ramona portwich, anett schuck, manuela mucke	GER	1
birgit fischer, ramona portwich, heike singer, anke nothnagel-von seck	GDR	1
birgit peter, martina schr?ter	GDR	1
birgit treiber	GDR	3
birte weigang	GDR	2
birte weigang, kathrin mei?ner, kristin otto, silke h?rner	GDR	1
birute sakickiene, kristina poplavskaja	LTU	1
bisi afolabi, falilat ogunkoya, charity opara, fatima yusuf	NGR	1
bjorn bach, jan sch?fer, stefan ulm, mark zabel	GER	1
bj?rn hasl?v, kurt helmudt, john hansen, erik petersen	DEN	1
b?la goldov?nyi, gy?rgy cs?nyi, l?szl? zar?ndi, g?za varasdi	HUN	1
blain lindgren	USA	1
blair horn, mark evans, michael evans, dean crawford, grant main, kevin neufeld, brian mcmahon, paul steele, patrick turner	CAN	1
bobby morrow	USA	2
bobby pearce	AUS	2
bob hayes	USA	1
bob leavitt	USA	1
bob schul	USA	1
bob sohl	USA	1
bob tisdall	IRL	1
bodo t?mmler	FRG	1
bo gustafsson	SWE	1
bohuslav karl?k	CZE	1
bong-ju lee	KOR	1
bonnie mealing	AUS	1
borislav ananiev, nikolay ilkov	BUL	1
borislav borisov, lazar khristov, bozhidar milenkov, ivan manev	BUL	1
boris steimetz, fabien gilot, alain bernard, fr?d?rick bousquet, amaury leveaux, gregory mallet	FRA	1
botond storcz, g?bor horv?th, zoltan kammerer, akos vereckei	HUN	1
bouguerra el quafi	FRA	1
bowen stassforth	USA	1
brad bridgewater	USA	1
bradford cooper	AUS	1
bradley lewis, paul enquist	USA	1
brahim boutayeb	MAR	1
brahim lahlafi	MAR	1
b?rbel w?ckel-eckert	GDR	2
b?rbel w?ckel-eckert, renate stecher, carla bodendorf, marlies g?hr-oelsner	GDR	1
brenda helser, thelma kalama, marie corridon, ann curtis	USA	1
brenda jones	AUS	1
brendan foster	GBR	1
brendan hansen	USA	3
brendan hansen, michael phelps, nathan adrian, matthew grevers	USA	1
brent hayden	CAN	1
brenton rickard	AUS	1
brian diemer	USA	1
brian goodell	USA	2
brian job	USA	1
brian peaker, dave boyes, gavin hassett, jeffrey lay	CAN	1
